category,file,review_depth,file_lines_not_lines_certified,findings
Results and publication,app/lib/ask-publication.ts,module review,29,A4 A5
Results and publication,app/lib/intelligence/inspect-ask-publication.ts,module review,21,A4 A5
Results and publication,app/lib/intelligence/ask-evidence-presentation.ts,module review,46,A4 A5
Results and publication,app/lib/intelligence/history-calculation.ts,targeted boundary review,191,A5 A6 A10
Results and publication,app/lib/furvise-voice.ts,targeted boundary review,73,A5 A6 A10
Results and publication,app/lib/furvise-output.ts,targeted boundary review,446,A5 A6 A10
Results and publication,app/lib/ask.mjs,targeted boundary review,755,A5 A6 A10
Results and publication,app/lib/application-actions/state-claims.ts,targeted boundary review,160,A5 A6 A10
Product facts,app/lib/ai/ask-internal-product-policy.ts,module review,76,A6
Durable turn and API,app/api/ask/route.ts,targeted boundary review,2569,A3 A6 A7 A8 A10
Durable turn and API,app/ask/page.tsx,targeted boundary review,971,A3 A6 A7 A8 A10
Durable turn and API,app/lib/ask-conversation-server.ts,targeted boundary review,217,A3 A6 A7 A8 A10
Durable turn and API,app/lib/ai/ask-turn-model.ts,targeted boundary review,211,A3 A6 A7 A8 A10
Durable turn and API,app/lib/ask-conversation-authority.ts,module review,174,A7
Durable turn and API,app/lib/ai/ask-admission-settlement.ts,module review,55,A7
Budgets,app/lib/ai/execution-deadline.ts,module review,54,A8
Budgets,app/lib/ai/usage-guard/provider-call-budget.ts,module review,64,A8
Budgets,app/lib/ai/usage-guard/admission.ts,targeted boundary review,225,A8
Budgets,app/lib/ai/usage-guard/features.ts,targeted boundary review,22,A8
SQL,supabase/migrations/20260903203626_add_ask_conversation_service_authority.sql,targeted function review; deployed interval guard also inspected,736,A3 A7 A9
SQL,supabase/migrations/20260906054006_ask_writer_backed_lifetime_history.sql,targeted function review; deployed interval guard also inspected,841,A3 A7 A9
Tests,tests/ask-shared-request-contract.test.mjs,executed focused entry file,10,A1 A2 A3 A4 A5 A7 A8 A10
Tests,tests/ask-completion-integration.test.mjs,executed focused entry file,8,A1 A2 A3 A4 A5 A7 A8 A10
Tests,tests/ask-completion-execution.test.mjs,executed focused entry file,143,A1 A2 A3 A4 A5 A7 A8 A10
Tests,tests/ask-save-completion.test.mjs,executed focused entry file,7,A1 A2 A3 A4 A5 A7 A8 A10
Tests,tests/ask-provider-deadline.test.mjs,executed focused entry file,14,A1 A2 A3 A4 A5 A7 A8 A10
Tests,tests/ask-publication-contract.test.mjs,executed focused entry file,28,A1 A2 A3 A4 A5 A7 A8 A10
Tests,tests/ask-credit-settlement-integrity.test.mjs,executed focused entry file,276,A1 A2 A3 A4 A5 A7 A8 A10
Tests,tests/ask-history-duration-facts.test.mjs,executed focused entry file,52,A1 A2 A3 A4 A5 A7 A8 A10
Tests,tests/ask-episode-history.test.mjs,executed focused entry file,8,A1 A2 A3 A4 A5 A7 A8 A10
Tests,tests/ask-structured-output-reliability.test.mjs,executed focused entry file,245,A1 A2 A3 A4 A5 A7 A8 A10
Tests,tests/ask-evidence-needs.test.mjs,executed focused entry file,107,A1 A2 A3 A4 A5 A7 A8 A10
Tests,tests/ask-recorded-completeness.test.mjs,executed focused entry file,8,A1 A2 A3 A4 A5 A7 A8 A10
Test methodology,scripts/audits/helpers/lifetime-harness.mjs,targeted source review,243,A10
Test methodology,scripts/audits/ask-shared-request-contract.cases.mjs,targeted source review,1316,A10
Test methodology,tests/ask-first20-reliability.test.mjs,targeted source review,267,A10
Test methodology,tests/ask-request-contract.test.mjs,targeted source review,42,A10
Test methodology,tests/ask-profile-read.test.mjs,targeted source review,93,A10
