path,classification,current_path,area,decision,evidence,reason,inspection,baseline_sha256,current_sha256
app/api/ask/route.ts,KEEP,app/api/ask/route.ts,Ask/intelligence/actions,,docs/ask-evidence-contract-stage-1.md; docs/ask-lifetime-history-audit.md; docs/ask-lifetime-history-stage-2-report.md; docs/ask-reliability-repair-1-source-recovery.md; docs/ask-remaining-lifetime-evidence.md; docs/ask-resolution-status-grounding.md,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,b36a829237f6f1fd0cb0b3b0dce63abd4b823c0ea1ed8556fa13c0418e5f3709,b36a829237f6f1fd0cb0b3b0dce63abd4b823c0ea1ed8556fa13c0418e5f3709
app/api/ask/suggestions/[id]/route.ts,KEEP,app/api/ask/suggestions/[id]/route.ts,Ask/intelligence/actions,,tests/ask-cross-pet-persistence-and-retry.test.mjs; tests/ask-memory-integrity-p0.test.mjs; tests/ask-p0-auxiliary-regressions.test.mjs; tests/ask-state-suggestion-persistence.test.mjs; tests/canonical-care-deployment-compatibility.test.mjs; tests/canonical-memory-suggestion.test.mjs,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,9a9f886f9254d47fc4bf7d200aea6cebd18c643458a0167dba921c16f3163639,9a9f886f9254d47fc4bf7d200aea6cebd18c643458a0167dba921c16f3163639
app/api/auth/account-route/route.ts,KEEP,app/api/auth/account-route/route.ts,Identity/security/data access,,tests/auth-account-routing-hotfix.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2g.test.mjs; app/login/page.tsx,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,dd1d1f5bb7cfdbb2cceef4fe028ee09112fca321f6fe17c6e3ad4ece443953c8,dd1d1f5bb7cfdbb2cceef4fe028ee09112fca321f6fe17c6e3ad4ece443953c8
app/api/auth/login-otp/start/route.ts,KEEP,app/api/auth/login-otp/start/route.ts,Identity/security/data access,,tests/auth-account-routing-hotfix.test.mjs; tests/auth-email-otp-signin.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2g.test.mjs; app/login/page.tsx,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,cd66c8a8b727bc3d2b19ea04549faf3116e5825052445a889ad54e2767f74750,cd66c8a8b727bc3d2b19ea04549faf3116e5825052445a889ad54e2767f74750
app/api/auth/login/route.ts,KEEP,app/api/auth/login/route.ts,Identity/security/data access,,tests/auth-simplicity-v2.test.mjs; tests/login-captcha-regression.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2g.test.mjs; app/login/page.tsx,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,96f8261f2a4a7ba2b7f233bac80a1726d931ccfed40988b89d4cd569f3216edd,96f8261f2a4a7ba2b7f233bac80a1726d931ccfed40988b89d4cd569f3216edd
app/api/auth/oauth/route.ts,KEEP,app/api/auth/oauth/route.ts,Identity/security/data access,,tests/google-auth.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2g.test.mjs; app/lib/google-auth-client.ts,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,69f1a274a07041318304bbd1d178f0efdb4409671176721143b1a94aaf07854a,69f1a274a07041318304bbd1d178f0efdb4409671176721143b1a94aaf07854a
app/api/auth/recovery/continue/route.ts,KEEP,app/api/auth/recovery/continue/route.ts,Identity/security/data access,,tests/password-recovery-hardening.test.mjs; tests/password-recovery-prefetch.test.mjs; tests/security-phase-s2d.test.mjs; app/reset-password/confirm/page.tsx,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,a46eabc3576b23a53d92b4c9eac347a6ec24ee9df4e9c94d9d05d749ebe1c3ea,a46eabc3576b23a53d92b4c9eac347a6ec24ee9df4e9c94d9d05d749ebe1c3ea
app/api/auth/recovery/route.ts,KEEP,app/api/auth/recovery/route.ts,Identity/security/data access,,tests/password-recovery-prefetch.test.mjs; tests/password-setup-mode.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2g.test.mjs; app/forgot-password/password-email-form.tsx,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,a34b4b1ef587cc72ee9933941cc0820a6f320e2329dbd4f2cd6eec271d557570,a34b4b1ef587cc72ee9933941cc0820a6f320e2329dbd4f2cd6eec271d557570
app/api/auth/resend/route.ts,KEEP,app/api/auth/resend/route.ts,Identity/security/data access,,tests/auth-email-otp-signin.test.mjs; tests/progressive-signup-ux.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2g.test.mjs; tests/signup-email-otp.test.mjs; tests/signup-otp-ux-v2.test.mjs,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,ac16ab14e4b112960d6aa8fdc1b99ff346e79dc436fb71ebad9ff3a254e6385a,ac16ab14e4b112960d6aa8fdc1b99ff346e79dc436fb71ebad9ff3a254e6385a
app/api/auth/signup/route.ts,KEEP,app/api/auth/signup/route.ts,Identity/security/data access,,tests/auth-account-routing-hotfix.test.mjs; tests/auth-email-otp-signin.test.mjs; tests/progressive-signup-ux.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2g.test.mjs; tests/signup-email-otp.test.mjs,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,f2d00228ad05ff49a5545b33443e227541dd2030b106869834370acc5a112f00,f2d00228ad05ff49a5545b33443e227541dd2030b106869834370acc5a112f00
app/api/auth/update-password/route.ts,KEEP,app/api/auth/update-password/route.ts,Identity/security/data access,,tests/account-security-password-change.test.mjs; tests/password-capability-state.test.mjs; tests/password-recovery-completion-journey.test.mjs; tests/password-recovery-hardening.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2g.test.mjs,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,6a5eb7630a008c96b1e4875b074bbd45dac87d1e5910da4bd61969815a60cf8b,6a5eb7630a008c96b1e4875b074bbd45dac87d1e5910da4bd61969815a60cf8b
app/api/auth/verify-email-otp/route.ts,KEEP,app/api/auth/verify-email-otp/route.ts,Identity/security/data access,,tests/auth-email-otp-signin.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2g.test.mjs; tests/signup-email-otp.test.mjs; tests/signup-otp-ux-v2.test.mjs; app/login/page.tsx,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,6e406dac3a7db5a578915e0fa5ec274550a9dc2a916eb5abce10266fe03f33f7,6e406dac3a7db5a578915e0fa5ec274550a9dc2a916eb5abce10266fe03f33f7
app/api/billing/checkout/route.ts,KEEP,app/api/billing/checkout/route.ts,Subscription/entitlements,,tests/billing-checkout-single-flight.test.mjs; tests/billing-launch.test.mjs; tests/billing-recovery-ux.test.mjs; tests/membership-page.test.mjs; tests/security-phase-s2d.test.mjs,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,d0d0be49b76896e97af473dce85580b368fc35e5600647ac3b15bdccf9952eda,d0d0be49b76896e97af473dce85580b368fc35e5600647ac3b15bdccf9952eda
app/api/billing/portal/route.ts,KEEP,app/api/billing/portal/route.ts,Subscription/entitlements,,tests/billing-launch.test.mjs; tests/membership-page.test.mjs; tests/security-phase-s2d.test.mjs,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,4d09e5eb0041c7ec195e88cb8d53bc5aeb697f94ad85b6fc30291834302eefb5,4d09e5eb0041c7ec195e88cb8d53bc5aeb697f94ad85b6fc30291834302eefb5
app/api/billing/webhook/route.ts,KEEP,app/api/billing/webhook/route.ts,Subscription/entitlements,,tests/account-deletion-billing-safety.test.mjs; tests/billing-launch.test.mjs; tests/billing-webhook-ordering.test.mjs; tests/launch-hardening-p1.test.mjs; tests/security-phase-s2d.test.mjs; app/api/billing/webhook/route.ts,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,bb65b700f9a44be0edf706c036f772476f17e93249a64375db538e43ee60ac2c,bb65b700f9a44be0edf706c036f772476f17e93249a64375db538e43ee60ac2c
app/api/care-entries/[id]/route.ts,KEEP,app/api/care-entries/[id]/route.ts,Care history/memory,,tests/care-entry-route-auth.test.mjs; tests/care-entry-write-authority.test.mjs; tests/history-deletion-semantics.test.mjs; tests/lifecycle-integrity-foundation.test.mjs; tests/pet-history-delete-controls.test.mjs; tests/security-phase-s2b.test.mjs,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,cb9f0739ca0ba4721434b4a3339379b25ad7aa3003849858da2be2943d9d0151,cb9f0739ca0ba4721434b4a3339379b25ad7aa3003849858da2be2943d9d0151
app/api/care-entries/route.ts,KEEP,app/api/care-entries/route.ts,Care history/memory,,tests/security-phase-s2b.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2f.test.mjs; tests/security-phase-s2g.test.mjs; app/api/care-entries/route.ts; app/lib/supabase.ts,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,4208285a1485558962c8dbd0317954e86733227d162b28c9c390d5baec5a1e61,4208285a1485558962c8dbd0317954e86733227d162b28c9c390d5baec5a1e61
app/api/health/route.ts,KEEP,app/api/health/route.ts,Shared UI/framework/configuration,,tests/security-phase-s2h.test.mjs,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,9a8fcb9e81b656b58516e2ba1ee02069bb0b540c78ea7f390b0d0668b7a79bab,9a8fcb9e81b656b58516e2ba1ee02069bb0b540c78ea7f390b0d0668b7a79bab
app/api/legacy-memories/route.ts,KEEP,app/api/legacy-memories/route.ts,Care history/memory,,tests/ask-memory-integrity-p0.test.mjs; tests/live-memory-management.test.mjs; tests/security-phase-s2b.test.mjs; tests/security-phase-s2d.test.mjs; tests/security-phase-s2f.test.mjs; app/api/legacy-memories/route.ts,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,7230b31eeffd885cd01e3e584bec7263698e370600882a6c9861c7f19183ff31,7230b31eeffd885cd01e3e584bec7263698e370600882a6c9861c7f19183ff31
app/api/memories/[id]/route.ts,KEEP,app/api/memories/[id]/route.ts,Care history/memory,,tests/ask-memory-integrity-p0.test.mjs; tests/live-memory-management.test.mjs; tests/remembered-details-canonical.test.mjs; tests/security-phase-s1.test.mjs; tests/security-phase-s2b.test.mjs; tests/security-phase-s2d.test.mjs,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,2757c62169de2b18798dcbbabe8765fe8abd69a1d50939c7678e4f8908b65108,2757c62169de2b18798dcbbabe8765fe8abd69a1d50939c7678e4f8908b65108
app/api/pets/[id]/route.ts,KEEP,app/api/pets/[id]/route.ts,Pet profiles,,tests/entitlement-boundary-p0.test.mjs; tests/permanent-delete-recent-auth.test.mjs; tests/pet-history-delete-controls.test.mjs; tests/pet-lifecycle-migration-v1.test.mjs; tests/security-phase-s2b.test.mjs; tests/security-phase-s2d.test.mjs,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,489f6152d6a1205343e99113b4f87f2c5fa9031a1fa249dacc8fffe2e6e1741f,489f6152d6a1205343e99113b4f87f2c5fa9031a1fa249dacc8fffe2e6e1741f
app/api/pets/route.ts,KEEP,app/api/pets/route.ts,Pet profiles,,tests/security-phase-s2d.test.mjs; app/lib/pet-profile-api-server.ts; app/lib/supabase.ts,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,d2e69968dee6bf27039a8dd02e40f6e809084fb262df89ddaafa73dd9bad7284,d2e69968dee6bf27039a8dd02e40f6e809084fb262df89ddaafa73dd9bad7284
app/api/product-feedback/route.ts,KEEP,app/api/product-feedback/route.ts,Products/catalogue,,tests/security-phase-s2d.test.mjs; tests/security-phase-s2f.test.mjs; app/api/product-feedback/route.ts; app/lib/supabase.ts,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,f7e1b02580838832930318a4e90665043c303f2b937590ca05dd3b6962f198b8,f7e1b02580838832930318a4e90665043c303f2b937590ca05dd3b6962f198b8
app/api/readiness/route.ts,KEEP,app/api/readiness/route.ts,Shared UI/framework/configuration,,tests/launch-hardening-p1.test.mjs; tests/readiness-schema-compatibility.test.mjs; tests/security-phase-s2h.test.mjs; app/api/readiness/route.ts,Framework-discovered route/layout/metadata/proxy/instrumentation; retain public URL or operational entry behavior.,structural/content reference scan; retained conservatively,ded51681659b373d240541a551a7fc6a5f5813082ee16af8075ba476410f9ace,ded51681659b373d240541a551a7fc6a5f5813082ee16af8075ba476410f9ace
app/api/safety-followup/route.ts,DECISION NEEDED,app/api/safety-followup/route.ts,Shared UI/framework/configuration,D2,tests/account-entitlements.test.mjs; tests/ask-memory-integrity-p0.test.mjs; tests/intelligence-phase-2.test.mjs; tests/security-phase-s2b.test.mjs; tests/security-phase-s2c.test.mjs; tests/security-phase-s2d.test.mjs,Externally callable legacy feature endpoints/provider contract; absence of mounted Results UI does not prove API retirement.,structural/content reference scan; retained conservatively,72134a96603bb1d86e66ae24e05972ff385068bcb725fe71085e95c8ad245713,72134a96603bb1d86e66ae24e05972ff385068bcb725fe71085e95c8ad245713
app/api/shop/catalog/route.ts,DECISION NEEDED,app/api/shop/catalog/route.ts,Products/catalogue,D1,tests/organic-destination-rpc.test.mjs; tests/pet-lifecycle-migration-v1.test.mjs; tests/security-phase-s1.test.mjs; tests/security-phase-s2b.test.mjs; tests/security-phase-s2c.test.mjs; tests/security-phase-s2d.test.mjs,"Products UI is coming-soon, while backend/search/filtering remains. Preserve pending explicit launch-scope decision.",structural/content reference scan; retained conservatively,ecdb32ebbba5451548fad390af3c534cb0de5cef1caee8cb519eb2ea802ed4d4,ecdb32ebbba5451548fad390af3c534cb0de5cef1caee8cb519eb2ea802ed4d4
app/api/shop/explain-product-fit/route.ts,DECISION NEEDED,app/api/shop/explain-product-fit/route.ts,Products/catalogue,D1,tests/account-entitlements.test.mjs; tests/catalog-compatibility-source.test.mjs; tests/intelligence-phase-2.test.mjs; tests/security-phase-s2b.test.mjs; tests/security-phase-s2c.test.mjs; tests/security-phase-s2d.test.mjs,"Products UI is coming-soon, while backend/search/filtering remains. Preserve pending explicit launch-scope decision.",structural/content reference scan; retained conservatively,bbe7bd4477215a2926ee6e2edfcd2a73621b844852e13813df07acee5f84ad7b,bbe7bd4477215a2926ee6e2edfcd2a73621b844852e13813df07acee5f84ad7b
app/api/shop/interpret-query/route.ts,DECISION NEEDED,app/api/shop/interpret-query/route.ts,Products/catalogue,D1,tests/account-entitlements.test.mjs; tests/ask-memory-integrity-p0.test.mjs; tests/intelligence-phase-2.test.mjs; tests/security-phase-s2b.test.mjs; tests/security-phase-s2c.test.mjs; tests/security-phase-s2d.test.mjs,"Products UI is coming-soon, while backend/search/filtering remains. Preserve pending explicit launch-scope decision.",structural/content reference scan; retained conservatively,ef0b87af1f6cf44aa3b08d02beec2f27dcbcbd3efa03ebca281460aa8a3be23d,ef0b87af1f6cf44aa3b08d02beec2f27dcbcbd3efa03ebca281460aa8a3be23d
